city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Afton,Afton,MN,Minnesota,27163,Washington,27163,Washington,44.9042,-92.8173,3010,46,polygon,FALSE,TRUE,America/Chicago,3,55001,1840006736
Ironton,Ironton,MN,Minnesota,27035,Crow Wing,27035,Crow Wing,46.4817,-93.9977,561,149,polygon,FALSE,TRUE,America/Chicago,3,56441 56455,1840007741
Thief River Falls,Thief River Falls,MN,Minnesota,27113,Pennington,27113,Pennington,48.1112,-96.1771,9156,603,polygon,FALSE,TRUE,America/Chicago,3,56701,1840008825
Proctor,Proctor,MN,Minnesota,27137,St. Louis,27137,St. Louis,46.7416,-92.2277,3058,361,polygon,FALSE,TRUE,America/Chicago,3,55810,1840008818
Sabin,Sabin,MN,Minnesota,27027,Clay,27027,Clay,46.7814,-96.6542,552,463,polygon,FALSE,TRUE,America/Chicago,3,56580,1840008840
Alden,Alden,MN,Minnesota,27047,Freeborn,27047,Freeborn,43.6695,-93.5735,641,256,polygon,FALSE,TRUE,America/Chicago,3,56009,1840006825
Roscoe,Roscoe,MN,Minnesota,27145,Stearns,27145,Stearns,45.4324,-94.6365,108,65,polygon,FALSE,TRUE,America/Chicago,3,56371 56362,1840008878
Brooklyn Park,Brooklyn Park,MN,Minnesota,27053,Hennepin,27053,Hennepin,45.1112,-93.3505,80581,1193,polygon,FALSE,TRUE,America/Chicago,3,55444 55429 55428 55443 55445,1840004023
Edina,Edina,MN,Minnesota,27053,Hennepin,27053,Hennepin,44.8914,-93.3602,51958,1298,polygon,FALSE,TRUE,America/Chicago,3,55424 55436 55435 55439 55410,1840007822
Long Prairie,Long Prairie,MN,Minnesota,27153,Todd,27153,Todd,45.9775,-94.8629,3226,468,polygon,FALSE,TRUE,America/Chicago,3,56347,1840008859
Dovray,Dovray,MN,Minnesota,27101,Murray,27101,Murray,44.0545,-95.5477,52,80,polygon,FALSE,TRUE,America/Chicago,3,56125,1840006804
Big Falls,Big Falls,MN,Minnesota,27071,Koochiching,27071,Koochiching,48.1794,-93.8092,219,13,polygon,FALSE,TRUE,America/Chicago,3,56627,1840006586
Richmond,Richmond,MN,Minnesota,27145,Stearns,27145,Stearns,45.4556,-94.5153,1442,530,polygon,FALSE,TRUE,America/Chicago,3,56368,1840008876
Nicollet,Nicollet,MN,Minnesota,27103,Nicollet,27103,Nicollet,44.2746,-94.1885,1139,465,polygon,FALSE,TRUE,America/Chicago,3,56074,1840007895
Madelia,Madelia,MN,Minnesota,27165,Watonwan,27165,Watonwan,44.0482,-94.4198,2239,568,polygon,FALSE,TRUE,America/Chicago,3,56062,1840008992
